Field,ID,Type (Type),default,en-us,ja,ja-jp,zh-cn,zh-hans,zh-hant,zh-tw
RecommendedHardwareReq8,857,Text,,,,,,,,
RecommendedHardwareReq9,858,Text,,,,,,,,
RecommendedHardwareReq10,859,Text,,,,,,,,
RecommendedHardwareReq11,860,Text,,,,,,,,
SearchTerm1,900,Text,,,,,,,,
SearchTerm2,901,Text,,,,,,,,
SearchTerm3,902,Text,,,,,,,,
SearchTerm4,903,Text,,,,,,,,
SearchTerm5,904,Text,,,,,,,,
SearchTerm6,905,Text,,,,,,,,
SearchTerm7,906,Text,,,,,,,,
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer1,1000,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer2,1001,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer3,1002,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer4,1003,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer5,1004,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer6,1005,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer7,1006,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer8,1007,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer9,1008,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer10,1009,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer11,1010,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer12,1011,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer13,1012,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer14,1013,Relative path (or URL to file in Dev Center),,,,,,,,
Trailer15,1014,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerTitle1,1020,Text,,,,,,,,
TrailerTitle2,1021,Text,,,,,,,,
TrailerTitle3,1022,Text,,,,,,,,
TrailerTitle4,1023,Text,,,,,,,,
TrailerTitle5,1024,Text,,,,,,,,
TrailerTitle6,1025,Text,,,,,,,,
TrailerTitle7,1026,Text,,,,,,,,
TrailerTitle8,1027,Text,,,,,,,,
TrailerTitle9,1028,Text,,,,,,,,
TrailerTitle10,1029,Text,,,,,,,,
TrailerTitle11,1030,Text,,,,,,,,
TrailerTitle12,1031,Text,,,,,,,,
TrailerTitle13,1032,Text,,,,,,,,
TrailerTitle14,1033,Text,,,,,,,,
TrailerTitle15,1034,Text,,,,,,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail2,1041,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail3,1042,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail4,1043,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail5,1044,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail6,1045,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail7,1046,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail8,1047,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail9,1048,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail10,1049,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail11,1050,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail12,1051,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail13,1052,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail14,1053,Relative path (or URL to file in Dev Center),,,,,,,,
TrailerThumbnail15,1054,Relative path (or URL to file in Dev Center),,,,,,,,
